acousticness|danceability|energy|explicit|num_non_explicit|instrumentalness|key|liveness|loudness|major|minor|popularity|speechiness|tempo|valence|nums_songs|decade
0.5|0.54|232.19|0.48|11704|160526|0.2|5|0.21|-11|121103|51125|25.93|0.11|116|0.53|172230|0
0.23|0.59|248.05|0.66|4596|22111|0.23|5|0.22|-8|16626|10081|28.91|0.1|123|0.45|26707|2010
0.87|0.47|217.24|0.25|1066|14426|0.37|5|0.22|-15|10897|4595|1.81|0.15|107|0.49|15492|1940
0.32|0.56|246.79|0.58|2291|18006|0.12|5|0.2|-10|14649|5648|43.13|0.08|119|0.54|20297|1990
0.84|0.48|218.72|0.29|155|19845|0.24|5|0.21|-14|14275|5725|10.72|0.1|110|0.48|20000|1950
0.63|0.49|210.03|0.41|12|19570|0.16|5|0.21|-12|14764|4818|26.38|0.06|115|0.55|19582|1960
0.31|0.54|250.25|0.59|462|19593|0.12|5|0.2|-11|14254|5801|36.94|0.06|121|0.56|20055|1980
0.82|0.56|197.57|0.28|600|10164|0.24|5|0.22|-15|7507|3257|2.21|0.29|110|0.57|10764|1930
0.4|0.52|252.53|0.53|68|20013|0.12|5|0.22|-11|14896|5185|34.53|0.06|119|0.58|20081|1970
0.27|0.57|238.1|0.66|1733|11882|0.12|5|0.21|-7|9334|4281|43.59|0.09|121|0.54|13615|2000
0.79|0.59|185.28|0.25|718|4913|0.36|5|0.21|-16|3899|1732|1.19|0.3|110|0.55|5631|1920
